date,year,month,value
2000-01-01,2000,1,78
2000-02-01,2000,2,53
2000-03-01,2000,3,73
2000-04-01,2000,4,78
2000-05-01,2000,5,96
2000-06-01,2000,6,57
2000-07-01,2000,7,99
2000-08-01,2000,8,77
2000-09-01,2000,9,84
2000-10-01,2000,10,83
2000-11-01,2000,11,71
2000-12-01,2000,12,85
2001-01-01,2001,1,66
2001-02-01,2001,2,49
2001-03-01,2001,3,63
2001-04-01,2001,4,68
2001-05-01,2001,5,85
2001-06-01,2001,6,68
2001-07-01,2001,7,71
2001-08-01,2001,8,60
2001-09-01,2001,9,107
2001-10-01,2001,10,77
2001-11-01,2001,11,68
2001-12-01,2001,12,66
2002-01-01,2002,1,44
2002-02-01,2002,2,49
2002-03-01,2002,3,61
2002-04-01,2002,4,65
2002-05-01,2002,5,58
2002-06-01,2002,6,74
2002-07-01,2002,7,84
2002-08-01,2002,8,71
2002-09-01,2002,9,107
2002-10-01,2002,10,83
2002-11-01,2002,11,44
2002-12-01,2002,12,63
2003-01-01,2003,1,55
2003-02-01,2003,2,44
2003-03-01,2003,3,53
2003-04-01,2003,4,50
2003-05-01,2003,5,65
2003-06-01,2003,6,82
2003-07-01,2003,7,76
2003-08-01,2003,8,66
2003-09-01,2003,9,63
2003-10-01,2003,10,74
2003-11-01,2003,11,44
2003-12-01,2003,12,58
2004-01-01,2004,1,42
2004-02-01,2004,2,48
2004-03-01,2004,3,44
2004-04-01,2004,4,37
2004-05-01,2004,5,55
2004-06-01,2004,6,58
2004-07-01,2004,7,67
2004-08-01,2004,8,58
2004-09-01,2004,9,79
2004-10-01,2004,10,68
2004-11-01,2004,11,51
2004-12-01,2004,12,52
2005-01-01,2005,1,48
2005-02-01,2005,2,40
2005-03-01,2005,3,40
2005-04-01,2005,4,40
2005-05-01,2005,5,48
2005-06-01,2005,6,57
2005-07-01,2005,7,63
2005-08-01,2005,8,48
2005-09-01,2005,9,76
2005-10-01,2005,10,57
2005-11-01,2005,11,42
2005-12-01,2005,12,41
2006-01-01,2006,1,44
2006-02-01,2006,2,50
2006-03-01,2006,3,40
2006-04-01,2006,4,40
2006-05-01,2006,5,53
2006-06-01,2006,6,51
2006-07-01,2006,7,64
2006-08-01,2006,8,48
2006-09-01,2006,9,64
2006-10-01,2006,10,45
2006-11-01,2006,11,48
2006-12-01,2006,12,52
2007-01-01,2007,1,36
2007-02-01,2007,2,32
2007-03-01,2007,3,38
2007-04-01,2007,4,49
2007-05-01,2007,5,63
2007-06-01,2007,6,51
2007-07-01,2007,7,65
2007-08-01,2007,8,44
2007-09-01,2007,9,54
2007-10-01,2007,10,55
2007-11-01,2007,11,36
2007-12-01,2007,12,37
2008-01-01,2008,1,32
2008-02-01,2008,2,30
2008-03-01,2008,3,30
2008-04-01,2008,4,25
2008-05-01,2008,5,57
2008-06-01,2008,6,56
2008-07-01,2008,7,52
2008-08-01,2008,8,44
2008-09-01,2008,9,49
2008-10-01,2008,10,45
2008-11-01,2008,11,27
2008-12-01,2008,12,35
2009-01-01,2009,1,23
2009-02-01,2009,2,32
2009-03-01,2009,3,14
2009-04-01,2009,4,45
2009-05-01,2009,5,57
2009-06-01,2009,6,31
2009-07-01,2009,7,44
2009-08-01,2009,8,35
2009-09-01,2009,9,49
2009-10-01,2009,10,35
2009-11-01,2009,11,31
2009-12-01,2009,12,34
2010-01-01,2010,1,19
2010-02-01,2010,2,23
2010-03-01,2010,3,31
2010-04-01,2010,4,33
2010-05-01,2010,5,34
2010-06-01,2010,6,39
2010-07-01,2010,7,48
2010-08-01,2010,8,40
2010-09-01,2010,9,54
2010-10-01,2010,10,27
2010-11-01,2010,11,28
2010-12-01,2010,12,26
2011-01-01,2011,1,25
2011-02-01,2011,2,25
2011-03-01,2011,3,22
2011-04-01,2011,4,43
2011-05-01,2011,5,43
2011-06-01,2011,6,27
2011-07-01,2011,7,39
2011-08-01,2011,8,34
2011-09-01,2011,9,36
2011-10-01,2011,10,26
2011-11-01,2011,11,40
2011-12-01,2011,12,37
2012-01-01,2012,1,21
2012-02-01,2012,2,18
2012-03-01,2012,3,21
2012-04-01,2012,4,34
2012-05-01,2012,5,54
2012-06-01,2012,6,43
2012-07-01,2012,7,56
2012-08-01,2012,8,55
2012-09-01,2012,9,49
2012-10-01,2012,10,32
2012-11-01,2012,11,30
2012-12-01,2012,12,27
2013-01-01,2013,1,17
2013-02-01,2013,2,15
2013-03-01,2013,3,21
2013-04-01,2013,4,28
2013-05-01,2013,5,33
2013-06-01,2013,6,37
2013-07-01,2013,7,42
2013-08-01,2013,8,39
2013-09-01,2013,9,47
2013-10-01,2013,10,31
2013-11-01,2013,11,35
2013-12-01,2013,12,32
2014-01-01,2014,1,21
2014-02-01,2014,2,17
2014-03-01,2014,3,37
2014-04-01,2014,4,35
2014-05-01,2014,5,28
2014-06-01,2014,6,31
2014-07-01,2014,7,35
2014-08-01,2014,8,32
2014-09-01,2014,9,43
2014-10-01,2014,10,36
2014-11-01,2014,11,42
2014-12-01,2014,12,25
2015-01-01,2015,1,22
2015-02-01,2015,2,23
2015-03-01,2015,3,23
2015-04-01,2015,4,29
2015-05-01,2015,5,50
2015-06-01,2015,6,39
2015-07-01,2015,7,49
2015-08-01,2015,8,49
2015-09-01,2015,9,45
2015-10-01,2015,10,25
2015-11-01,2015,11,30
2015-12-01,2015,12,27
2016-01-01,2016,1,21
